gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,True,True,69,True,True,Fiber optic,True,True,True,True,True,True,Two year,False,Credit card (automatic),113.25,7814.25,False
Female,0,False,False,52,True,False,No,,,,,,,One year,False,Mailed check,20.65,1073.8,False
Male,0,False,True,71,True,True,Fiber optic,True,False,True,False,True,True,Two year,False,Bank transfer (automatic),106.7,7575.7,False
Female,0,True,True,10,True,False,DSL,False,False,True,True,False,False,Month-to-month,False,Credit card (automatic),55.2,552.0,True
Female,0,False,False,21,True,False,Fiber optic,False,True,True,False,False,True,Month-to-month,True,Electronic check,90.05,1891.05,False
Male,1,False,False,1,False,,DSL,False,False,True,False,False,True,Month-to-month,True,Electronic check,39.65,39.65,True
Male,0,True,False,12,True,False,No,,,,,,,One year,False,Bank transfer (automatic),19.8,237.6,False
Male,0,False,False,1,True,False,No,,,,,,,Month-to-month,False,Mailed check,20.15,20.15,True
Female,0,True,False,58,True,True,DSL,False,True,False,True,False,False,Two year,True,Credit card (automatic),59.9,3474.2,False
Male,0,True,True,49,True,False,DSL,True,True,False,True,False,False,Month-to-month,False,Credit card (automatic),59.6,2920.4,False
Female,0,False,False,30,True,False,DSL,True,True,False,False,False,False,Month-to-month,True,Bank transfer (automatic),55.3,1659.0,False
Male,0,True,True,47,True,True,Fiber optic,False,True,False,False,True,True,Month-to-month,True,Electronic check,99.35,4669.45,True
Male,0,True,True,1,False,,DSL,False,True,False,False,False,False,Month-to-month,False,Electronic check,30.2,30.2,True
Male,0,True,False,72,True,True,DSL,True,True,True,True,True,True,Two year,True,Credit card (automatic),90.25,6498.0,False
Female,0,False,True,17,True,False,DSL,False,False,False,False,True,True,Month-to-month,True,Mailed check,64.7,1099.9,True
Female,1,True,False,71,True,True,Fiber optic,True,True,True,True,False,False,Two year,True,Credit card (automatic),96.35,6840.85,False
Male,1,True,False,2,True,False,Fiber optic,False,False,True,False,True,True,Month-to-month,True,Credit card (automatic),95.5,191.0,False
Female,0,True,True,27,True,False,DSL,True,True,True,True,False,False,One year,False,Mailed check,66.15,1786.05,False
Male,0,False,False,1,True,False,No,,,,,,,Month-to-month,False,Bank transfer (automatic),20.2,20.2,False
Male,1,False,False,1,True,False,DSL,False,False,False,False,False,False,Month-to-month,False,Bank transfer (automatic),45.25,45.25,False
Female,0,True,True,72,True,True,Fiber optic,True,True,False,True,True,False,Two year,False,Bank transfer (automatic),99.9,7192.8,False
Male,0,False,False,5,True,False,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,69.7,348.5,True
Female,0,False,False,46,True,False,Fiber optic,False,False,True,False,False,False,Month-to-month,True,Credit card (automatic),74.8,3440.8,False
Male,0,False,False,34,True,True,Fiber optic,False,True,True,False,True,True,Month-to-month,True,Electronic check,106.35,3615.9,True
Female,0,False,False,11,True,True,Fiber optic,False,False,True,False,True,True,Month-to-month,True,Bank transfer (automatic),97.85,1076.35,True
Male,0,True,True,10,True,False,DSL,False,True,False,False,False,False,One year,False,Mailed check,49.55,495.5,False
Female,0,True,True,70,True,True,DSL,True,True,False,False,True,False,Two year,True,Credit card (automatic),69.2,4844.0,False
Female,0,True,True,17,True,False,No,,,,,,,One year,False,Mailed check,20.75,352.75,False
Female,0,False,False,63,True,True,DSL,True,True,True,True,True,False,Two year,True,Credit card (automatic),79.85,5030.55,False
Female,0,True,False,13,True,True,DSL,True,True,False,True,True,False,Month-to-month,True,Electronic check,76.2,990.6,False
Female,0,False,False,49,True,True,Fiber optic,False,False,False,False,False,True,Month-to-month,True,Electronic check,84.5,4140.5,False
Male,0,False,False,2,True,False,DSL,False,True,False,False,False,False,Month-to-month,False,Mailed check,49.25,98.5,False
Female,0,False,False,2,True,False,Fiber optic,False,False,False,False,True,False,Month-to-month,True,Electronic check,80.65,161.3,True
Male,0,False,False,52,True,True,DSL,True,False,False,True,True,True,Two year,True,Credit card (automatic),79.75,4147.0,False
Female,0,True,True,69,True,True,DSL,True,False,True,True,False,False,Two year,True,Credit card (automatic),64.15,4426.35,False
Female,1,False,False,43,True,True,Fiber optic,False,True,False,False,True,False,Month-to-month,True,Electronic check,90.25,3880.75,False
Female,0,False,False,15,True,False,Fiber optic,True,True,False,False,True,True,Month-to-month,True,Credit card (automatic),99.1,1486.5,True
Female,1,True,False,25,True,True,DSL,True,False,False,True,True,False,Month-to-month,True,Credit card (automatic),69.5,1737.5,False
Female,1,True,False,8,True,True,Fiber optic,False,True,False,False,False,False,Month-to-month,True,Credit card (automatic),80.65,645.2,True
Female,1,True,True,60,True,False,DSL,True,True,True,True,False,True,One year,True,Credit card (automatic),74.85,4491.0,False
Male,1,False,False,18,True,True,Fiber optic,False,False,False,False,True,True,Month-to-month,True,Electronic check,95.45,1718.1,True
Female,0,True,True,63,True,True,Fiber optic,True,False,False,False,True,True,One year,True,Credit card (automatic),99.65,6277.95,False
Male,1,True,True,66,True,True,Fiber optic,False,True,True,True,True,True,One year,True,Electronic check,108.45,7157.7,False
Female,0,True,True,34,True,True,No,,,,,,,Two year,False,Credit card (automatic),24.95,848.3,False
Female,0,False,False,72,True,True,Fiber optic,False,False,True,True,True,True,Two year,True,Credit card (automatic),107.5,7740.0,False
Female,0,True,False,47,True,True,Fiber optic,False,False,True,False,True,True,Month-to-month,True,Electronic check,100.5,4723.5,False
Male,0,False,False,60,True,True,Fiber optic,False,True,False,False,True,False,Month-to-month,True,Bank transfer (automatic),89.9,5394.0,False
Male,0,True,False,72,False,,DSL,True,True,True,False,False,False,Two year,False,Bank transfer (automatic),42.1,3031.2,False
Female,0,True,True,18,True,False,DSL,False,False,True,True,False,False,One year,True,Credit card (automatic),54.4,979.2,False
Female,0,False,False,9,True,True,Fiber optic,False,False,False,False,True,True,Month-to-month,False,Electronic check,94.4,849.6,True
Female,0,False,False,3,True,False,DSL,False,True,False,True,True,True,Month-to-month,True,Electronic check,75.3,225.9,False
Male,0,True,False,47,True,True,Fiber optic,False,True,False,False,False,False,One year,True,Electronic check,78.9,3708.3,False
Female,0,False,False,31,True,False,DSL,False,True,True,True,True,True,Two year,False,Mailed check,79.2,2455.2,False
Female,0,True,True,50,True,False,No,,,,,,,Two year,False,Bank transfer (automatic),20.15,1007.5,False
Male,0,False,False,10,True,False,Fiber optic,True,False,True,False,False,False,Month-to-month,True,Mailed check,79.85,798.5,False
Male,0,False,False,1,True,False,DSL,False,False,False,True,False,False,Month-to-month,False,Mailed check,49.05,49.05,False
Female,0,True,True,52,True,False,No,,,,,,,One year,True,Electronic check,20.4,1060.8,False
Male,1,True,True,64,True,True,Fiber optic,True,False,True,True,True,True,Two year,True,Bank transfer (automatic),111.6,7142.4,False
Male,0,True,True,62,True,True,No,,,,,,,Two year,True,Bank transfer (automatic),24.25,1503.5,False
Female,0,False,True,3,True,False,DSL,True,False,False,True,False,True,Month-to-month,True,Bank transfer (automatic),64.5,193.5,False
Female,1,False,False,56,True,True,Fiber optic,True,True,True,False,True,True,One year,False,Electronic check,110.5,6188.0,False
Female,0,False,False,46,True,False,DSL,False,False,False,False,False,True,One year,False,Credit card (automatic),55.65,2559.9,False
Female,0,True,True,8,True,False,DSL,True,True,False,False,False,False,Month-to-month,False,Mailed check,54.65,437.2,False
Male,1,False,False,30,True,False,DSL,True,True,False,False,True,True,Month-to-month,True,Electronic check,74.75,2242.5,False
Female,0,True,True,45,True,True,No,,,,,,,One year,True,Credit card (automatic),25.9,1165.5,False
Female,0,False,True,1,True,False,Fiber optic,False,False,False,False,True,False,Month-to-month,True,Electronic check,79.35,79.35,True
Female,0,True,True,11,False,,DSL,True,False,False,False,True,True,Month-to-month,False,Electronic check,50.55,556.05,False
Female,0,True,False,7,True,False,Fiber optic,False,False,True,False,False,False,Month-to-month,True,Bank transfer (automatic),75.15,526.05,True
Female,0,False,False,42,True,False,Fiber optic,False,True,True,True,True,True,Month-to-month,True,Bank transfer (automatic),103.8,4359.6,False
Female,0,True,False,49,True,False,No,,,,,,,Two year,True,Bank transfer (automatic),20.15,987.35,False
Male,0,False,False,9,True,True,Fiber optic,False,True,False,False,True,True,Month-to-month,True,Credit card (automatic),99.3,893.7,False
Female,0,True,False,35,True,False,DSL,True,False,False,False,True,False,One year,True,Bank transfer (automatic),62.15,2175.25,False
Female,0,True,True,48,True,False,No,,,,,,,Two year,False,Bank transfer (automatic),20.65,991.2,False
Female,0,True,True,46,True,False,No,,,,,,,Two year,True,Mailed check,19.95,917.7,False
Male,0,True,False,29,False,,DSL,False,False,False,False,True,False,Month-to-month,False,Mailed check,33.75,978.75,False
Male,0,True,True,30,True,False,Fiber optic,False,True,True,False,False,False,Month-to-month,False,Bank transfer (automatic),82.05,2461.5,False
Male,1,False,False,1,True,False,Fiber optic,False,False,False,True,False,False,Month-to-month,False,Electronic check,74.7,74.7,False
Male,0,True,True,66,True,True,DSL,True,False,True,True,True,True,Two year,True,Mailed check,84.0,5544.0,False
Female,0,False,False,65,True,True,Fiber optic,True,True,True,False,True,True,Month-to-month,True,Credit card (automatic),111.05,7218.25,False
Male,0,False,False,72,True,True,Fiber optic,False,True,True,False,True,True,Two year,True,Bank transfer (automatic),100.9,7264.8,False
Female,0,False,False,12,True,True,Fiber optic,True,False,False,False,False,False,Month-to-month,True,Electronic check,78.95,947.4,True
Male,0,True,True,71,True,True,DSL,True,True,False,True,False,False,One year,True,Credit card (automatic),66.85,4746.35,False
Male,0,False,False,5,True,False,No,,,,,,,Month-to-month,False,Mailed check,21.05,105.25,True
Male,0,False,False,52,True,False,No,,,,,,,Two year,False,Bank transfer (automatic),21.0,1092.0,False
Female,1,True,False,25,True,False,Fiber optic,False,True,True,False,True,True,Month-to-month,True,Electronic check,98.5,2462.5,True
Male,0,False,False,1,True,False,No,,,,,,,Month-to-month,False,Mailed check,20.2,20.2,False
Female,0,True,True,1,True,False,No,,,,,,,Month-to-month,False,Electronic check,19.45,19.45,False
Male,0,False,False,38,True,True,Fiber optic,False,False,True,True,True,False,One year,False,Bank transfer (automatic),95.0,3610.0,False
Female,1,True,False,66,False,,DSL,False,True,True,False,True,False,One year,False,Bank transfer (automatic),45.55,3006.3,False
Male,0,True,False,68,True,True,Fiber optic,False,True,True,True,True,True,Two year,True,Bank transfer (automatic),110.0,7480.0,True
Male,0,False,False,5,False,,DSL,False,False,False,False,False,False,Month-to-month,False,Mailed check,24.3,121.5,False
Female,0,True,True,72,True,True,Fiber optic,True,True,False,False,True,True,One year,True,Electronic check,104.15,7498.8,False
Female,0,False,False,32,False,,DSL,True,False,False,False,False,False,One year,False,Mailed check,30.15,964.8,False
Male,0,False,False,43,True,True,Fiber optic,False,False,False,False,True,True,One year,False,Mailed check,94.35,4057.05,False
Male,0,True,True,72,True,False,No,,,,,,,Two year,False,Credit card (automatic),19.4,1396.8,False
Male,0,True,False,55,True,True,Fiber optic,True,True,False,False,True,False,Month-to-month,True,Electronic check,96.75,5321.25,True
Female,0,False,False,52,True,False,DSL,True,False,True,True,False,False,One year,False,Credit card (automatic),57.95,3013.4,False
Female,0,False,False,43,True,False,Fiber optic,False,True,True,False,True,False,Month-to-month,True,Electronic check,91.65,3940.95,False
Female,1,True,False,37,True,True,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,76.5,2830.5,True
Female,0,True,True,64,False,,DSL,False,True,False,True,True,True,Two year,True,Electronic check,54.6,3494.4,False
Male,0,True,True,3,True,False,Fiber optic,True,True,False,False,True,False,Month-to-month,False,Electronic check,89.85,269.55,False
Female,0,False,False,36,False,,DSL,True,False,False,False,False,False,Two year,False,Bank transfer (automatic),31.05,1117.8,False
Female,0,True,True,10,True,True,Fiber optic,True,False,False,False,True,True,Month-to-month,True,Electronic check,100.25,1002.5,True
Female,0,False,False,41,True,False,No,,,,,,,Two year,False,Mailed check,20.65,846.65,False
Male,0,True,True,27,True,True,Fiber optic,False,True,False,True,False,False,Month-to-month,True,Credit card (automatic),85.2,2300.4,False
Female,0,True,True,56,True,True,Fiber optic,False,False,True,False,True,True,One year,True,Credit card (automatic),99.8,5588.8,False
Female,0,False,False,6,True,False,No,,,,,,,Month-to-month,False,Mailed check,20.7,124.2,False
Male,0,False,False,3,True,True,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,74.4,223.2,True
Female,0,True,True,7,True,False,DSL,True,False,False,False,False,False,Month-to-month,False,Mailed check,50.7,354.9,False
Female,0,True,True,4,True,False,No,,,,,,,Month-to-month,False,Mailed check,20.85,83.4,False
Male,0,False,False,33,True,False,Fiber optic,True,False,False,True,True,False,Two year,True,Electronic check,88.95,2935.35,False
Female,1,False,False,27,True,True,Fiber optic,False,False,True,False,False,False,Month-to-month,True,Electronic check,78.05,2107.35,True
Male,0,True,False,72,True,True,No,,,,,,,Two year,True,Bank transfer (automatic),23.55,1695.6,False
Male,0,False,False,1,True,False,No,,,,,,,Month-to-month,False,Mailed check,19.75,19.75,False
Male,1,False,False,71,False,,DSL,True,True,False,False,True,True,One year,True,Electronic check,56.45,4007.95,False
Female,0,False,False,13,True,True,Fiber optic,False,False,False,False,False,True,Month-to-month,True,Electronic check,85.95,1117.35,False
Female,0,True,True,25,False,,DSL,True,True,True,False,True,True,Month-to-month,True,Credit card (automatic),58.6,1465.0,True
Male,0,False,False,67,True,False,DSL,False,False,False,True,False,False,Two year,False,Bank transfer (automatic),50.55,3386.85,False
Male,0,False,False,1,False,,DSL,False,False,False,False,False,True,Month-to-month,True,Electronic check,35.45,35.45,True
Male,0,False,False,2,True,False,DSL,False,False,False,False,False,False,Month-to-month,False,Electronic check,44.35,88.7,True
Female,0,False,False,43,True,True,No,,,,,,,Two year,True,Credit card (automatic),25.7,1105.1,False
Female,0,False,False,23,True,False,Fiber optic,True,False,False,False,False,False,Month-to-month,True,Bank transfer (automatic),75.0,1725.0,False
Female,0,True,True,64,True,False,No,,,,,,,Two year,False,Mailed check,20.2,1292.8,False
Male,0,False,True,57,True,False,No,,,,,,,Two year,True,Mailed check,19.6,1117.2,False
Female,1,True,False,1,True,False,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Mailed check,70.45,70.45,True
Female,1,True,True,72,True,True,DSL,True,True,True,True,True,True,Two year,True,Credit card (automatic),88.05,6339.6,False
Female,0,False,False,8,True,True,DSL,True,False,False,True,False,True,Month-to-month,False,Electronic check,71.15,569.2,True
Female,0,True,False,61,True,True,Fiber optic,False,True,False,False,True,True,Two year,True,Bank transfer (automatic),101.05,6164.05,False
Male,0,False,False,64,True,True,Fiber optic,True,True,False,False,False,False,One year,True,Credit card (automatic),84.3,5395.2,False
Male,1,True,False,71,True,True,No,,,,,,,Two year,False,Bank transfer (automatic),23.95,1700.45,False
Female,0,True,True,65,True,True,Fiber optic,True,True,False,True,True,False,Two year,True,Credit card (automatic),99.05,6438.25,False
Male,0,False,False,3,True,False,No,,,,,,,One year,False,Mailed check,19.6,58.8,False
Male,0,False,False,1,True,False,DSL,False,False,False,False,False,False,Month-to-month,True,Electronic check,45.65,45.65,True
Male,0,False,True,30,True,False,DSL,False,True,True,False,True,False,One year,False,Credit card (automatic),64.5,1935.0,False
Male,0,True,True,15,True,False,DSL,False,True,True,True,False,True,Month-to-month,True,Mailed check,69.5,1042.5,False
Female,0,True,True,8,True,False,DSL,False,False,False,True,True,True,Month-to-month,True,Electronic check,68.55,548.4,False
Male,0,False,False,7,True,True,Fiber optic,False,False,False,False,True,True,Month-to-month,False,Mailed check,95.0,665.0,True
Female,0,True,True,70,True,True,Fiber optic,True,True,True,False,True,True,One year,True,Credit card (automatic),108.15,7570.5,False
Male,0,True,True,62,True,False,DSL,True,True,True,True,True,True,Two year,False,Electronic check,86.1,5338.2,False
Female,0,True,True,6,True,False,No,,,,,,,Month-to-month,False,Mailed check,19.7,118.2,False
Female,0,True,True,14,True,False,Fiber optic,False,False,False,False,False,True,Month-to-month,True,Bank transfer (automatic),80.9,1132.6,False
Female,0,False,False,22,True,True,Fiber optic,False,False,False,False,True,False,Month-to-month,True,Bank transfer (automatic),84.15,1851.3,False
Male,0,True,True,22,True,False,No,,,,,,,One year,False,Mailed check,20.15,443.3,False
Male,0,True,True,16,True,False,DSL,True,False,True,False,True,False,Two year,False,Mailed check,64.25,1028.0,False
Male,0,False,False,10,True,True,No,,,,,,,Two year,False,Bank transfer (automatic),25.7,257.0,False
Female,0,False,True,13,True,False,DSL,True,True,False,False,False,False,Month-to-month,True,Electronic check,56.0,728.0,False
Female,0,True,False,20,True,True,Fiber optic,True,False,False,False,False,False,Month-to-month,False,Electronic check,82.4,1648.0,True
Female,0,False,False,2,True,False,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,69.7,139.4,False
Male,0,False,False,53,True,True,DSL,False,True,True,True,False,True,Two year,True,Bank transfer (automatic),73.9,3916.7,False
Female,0,True,True,11,True,False,No,,,,,,,One year,False,Mailed check,20.6,226.6,False
Male,0,True,False,69,True,False,No,,,,,,,Two year,False,Mailed check,19.9,1373.1,False
Female,0,False,False,4,True,False,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Bank transfer (automatic),70.9,283.6,True
Male,0,True,False,72,True,True,DSL,True,True,True,True,True,True,Two year,True,Bank transfer (automatic),89.05,6411.6,False
Male,1,True,False,58,False,,DSL,False,True,True,False,False,True,Month-to-month,True,Electronic check,45.3,2627.4,True
Female,0,True,True,16,True,False,No,,,,,,,Month-to-month,False,Electronic check,20.4,326.4,False
Male,0,True,False,43,True,False,Fiber optic,True,False,True,True,False,False,One year,True,Bank transfer (automatic),84.25,3622.75,False
Female,0,True,False,2,True,True,Fiber optic,False,False,True,True,True,True,Month-to-month,True,Electronic check,104.4,208.8,True
Male,0,True,False,14,True,False,DSL,False,True,True,True,True,True,Two year,False,Mailed check,81.95,1147.3,False
Female,0,True,False,53,True,False,Fiber optic,False,False,True,False,True,True,One year,True,Bank transfer (automatic),94.85,5027.05,True
Female,0,False,False,32,True,False,No,,,,,,,One year,False,Bank transfer (automatic),20.55,657.6,False
Female,0,True,False,34,True,True,No,,,,,,,Month-to-month,False,Electronic check,24.7,839.8,False
Female,1,False,False,15,True,True,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Mailed check,74.45,1116.75,True
Female,1,False,False,7,True,False,Fiber optic,True,False,False,False,False,False,Month-to-month,False,Bank transfer (automatic),76.45,535.15,True
Female,0,True,True,15,True,True,Fiber optic,False,True,True,False,True,True,Month-to-month,True,Bank transfer (automatic),105.35,1580.25,False
Male,0,True,False,61,True,False,No,,,,,,,One year,True,Credit card (automatic),20.55,1253.55,False
Female,0,False,False,1,False,,DSL,False,True,False,False,False,False,Month-to-month,False,Bank transfer (automatic),29.95,29.95,True
Female,0,False,False,1,True,False,DSL,False,False,False,False,False,False,Month-to-month,False,Mailed check,45.3,45.3,False
Male,0,False,False,8,True,True,Fiber optic,False,False,False,False,False,True,Month-to-month,False,Bank transfer (automatic),84.5,676.0,True
Male,0,True,True,33,True,False,DSL,True,False,True,False,True,True,One year,False,Credit card (automatic),74.75,2466.75,False
Female,0,False,False,13,True,False,Fiber optic,False,True,True,False,False,False,Month-to-month,True,Electronic check,79.25,1030.25,True
Female,0,True,False,1,False,,DSL,False,False,False,False,False,False,Month-to-month,True,Electronic check,24.8,24.8,True
Male,0,False,False,20,True,False,DSL,False,True,False,False,False,False,Month-to-month,True,Mailed check,51.8,1036.0,False
Male,0,False,False,3,False,,DSL,False,False,False,True,False,False,Month-to-month,False,Electronic check,30.4,91.2,False
Female,0,False,False,13,True,False,No,,,,,,,One year,False,Electronic check,19.65,255.45,False
Female,0,True,False,40,True,True,DSL,False,True,False,False,False,False,Month-to-month,False,Credit card (automatic),56.6,2264.0,False
Male,0,True,True,43,True,True,DSL,True,False,False,True,False,True,One year,True,Credit card (automatic),71.9,3091.7,False
Male,0,True,False,6,True,False,Fiber optic,False,True,True,False,False,True,Month-to-month,True,Electronic check,91.0,546.0,True
Female,0,True,True,69,True,False,No,,,,,,,Two year,False,Bank transfer (automatic),19.75,1362.75,False
Female,0,True,True,72,True,True,Fiber optic,True,True,True,False,True,True,Two year,False,Credit card (automatic),109.7,7898.4,False
Male,0,True,True,59,True,False,No,,,,,,,Two year,False,Credit card (automatic),19.3,1138.7,False
Female,0,True,False,20,True,False,Fiber optic,True,True,False,True,True,False,Month-to-month,True,Electronic check,96.55,1931.0,False
Male,0,True,True,24,True,True,No,,,,,,,Two year,True,Bank transfer (automatic),24.1,578.4,False
Male,0,False,False,59,True,True,Fiber optic,False,True,True,True,True,True,Month-to-month,True,Electronic check,111.35,6569.65,False
Male,0,True,True,72,True,True,Fiber optic,False,True,True,True,True,True,Two year,True,Bank transfer (automatic),112.25,8082.0,False
Male,0,False,True,1,True,False,No,,,,,,,Month-to-month,False,Mailed check,20.75,20.75,False
Female,0,True,False,27,True,False,Fiber optic,True,False,False,True,True,True,One year,True,Credit card (automatic),101.9,2751.3,False
Female,0,False,False,14,True,False,Fiber optic,False,True,False,True,False,False,Month-to-month,True,Credit card (automatic),80.05,1120.7,False
Male,0,True,True,71,True,True,Fiber optic,True,False,True,False,True,True,Two year,False,Electronic check,105.55,7494.05,False
Male,0,False,True,13,True,False,Fiber optic,False,False,False,False,True,False,Month-to-month,True,Credit card (automatic),78.3,1017.9,False
Male,0,False,False,44,True,False,Fiber optic,False,False,False,False,False,False,Month-to-month,False,Credit card (automatic),68.85,3029.4,False
Female,0,False,False,33,True,False,Fiber optic,False,True,False,True,False,False,One year,True,Bank transfer (automatic),79.95,2638.35,False
Male,0,True,True,72,False,,DSL,True,True,True,True,False,True,Two year,True,Credit card (automatic),55.45,3992.4,False
Male,0,False,False,1,True,False,Fiber optic,False,False,False,False,False,True,Month-to-month,False,Electronic check,79.9,79.9,True
Female,0,False,False,19,True,False,Fiber optic,True,False,True,True,True,True,Month-to-month,True,Electronic check,106.6,2025.4,True
Male,0,True,False,64,True,False,Fiber optic,False,True,True,True,True,True,One year,True,Credit card (automatic),102.45,6556.8,False
Male,0,False,False,2,True,False,DSL,False,False,False,False,False,False,Month-to-month,True,Credit card (automatic),46.0,92.0,True
Female,0,False,False,1,False,,DSL,False,False,False,False,False,False,Month-to-month,False,Electronic check,25.25,25.25,False
Male,0,False,True,61,True,False,No,,,,,,,Two year,False,Mailed check,19.75,1204.75,False
Female,0,True,True,29,True,False,No,,,,,,,One year,False,Electronic check,20.0,580.0,False
Male,1,True,False,23,True,True,Fiber optic,False,False,False,False,False,True,Month-to-month,False,Electronic check,86.8,1996.4,False
Female,0,True,False,57,False,,DSL,True,True,True,False,True,True,Month-to-month,True,Bank transfer (automatic),58.75,3348.75,False
Male,0,True,True,72,False,,DSL,True,True,True,True,False,False,Two year,False,Credit card (automatic),45.25,3258.0,False
Male,0,True,False,66,False,,DSL,True,True,True,True,True,False,Two year,True,Bank transfer (automatic),56.6,3735.6,False
Male,0,True,True,65,True,True,DSL,False,True,True,True,True,True,Two year,True,Bank transfer (automatic),84.2,5473.0,False
Female,0,False,False,8,True,False,Fiber optic,False,False,False,False,True,False,Month-to-month,True,Bank transfer (automatic),80.0,640.0,False
Female,0,False,False,4,True,False,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,70.15,280.6,True
Female,0,True,False,71,True,True,No,,,,,,,Two year,False,Bank transfer (automatic),24.75,1757.25,False
Male,0,True,True,1,True,False,No,,,,,,,One year,True,Electronic check,20.2,20.2,False
Male,0,True,False,4,True,False,DSL,False,False,False,True,False,False,Month-to-month,False,Mailed check,50.05,200.2,True
Female,0,False,False,12,True,False,No,,,,,,,One year,True,Bank transfer (automatic),19.35,232.2,False
Male,0,False,False,24,False,,DSL,True,False,False,False,True,True,One year,True,Mailed check,50.6,1214.4,False
Female,0,True,True,31,True,False,DSL,True,False,True,True,True,True,One year,True,Mailed check,81.15,2515.65,False
Female,0,True,False,1,True,False,DSL,False,False,False,False,True,False,Month-to-month,False,Mailed check,55.2,55.2,True
Male,0,False,False,30,True,True,Fiber optic,False,False,False,True,False,True,Month-to-month,True,Credit card (automatic),89.9,2697.0,False
Female,0,True,True,47,True,True,DSL,True,True,False,True,True,True,Two year,True,Credit card (automatic),85.3,4009.1,False
Male,0,False,False,54,True,True,Fiber optic,True,True,False,True,True,True,Two year,True,Credit card (automatic),108.0,5832.0,False
Male,0,False,False,50,True,False,Fiber optic,True,True,False,True,False,True,Month-to-month,True,Credit card (automatic),93.5,4675.0,False
Male,0,False,False,1,True,False,Fiber optic,True,False,False,False,False,True,Month-to-month,True,Mailed check,84.6,84.6,True
Female,0,False,False,72,True,False,No,,,,,,,Two year,False,Credit card (automatic),20.25,1458.0,False
Female,0,False,False,29,True,True,No,,,,,,,Month-to-month,False,Electronic check,25.15,729.35,False
Male,0,False,False,2,True,True,DSL,False,True,False,False,False,False,Month-to-month,True,Mailed check,54.4,108.8,True
Female,0,False,False,10,False,,DSL,False,False,False,True,False,False,Two year,True,Mailed check,29.6,296.0,False
Male,0,True,False,18,True,True,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,73.15,1316.7,False
Female,1,False,False,11,True,False,Fiber optic,False,True,False,False,True,True,Month-to-month,True,Electronic check,95.0,1045.0,True
Male,0,False,False,16,True,False,No,,,,,,,Two year,False,Mailed check,19.75,316.0,False
Female,0,False,False,72,True,True,DSL,False,True,True,True,True,True,Two year,False,Bank transfer (automatic),86.6,6235.2,False
Male,0,False,False,72,True,True,Fiber optic,False,True,True,True,True,True,Two year,False,Bank transfer (automatic),109.2,7862.4,False
Female,0,True,True,41,True,False,DSL,True,False,False,True,True,True,One year,True,Credit card (automatic),74.7,3062.7,False
